"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 10:43:14 GMT 2025","Tue Mar 25 10:43:14 GMT 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии [2] user123, 2025-02-18T10:00:00, 2025-02-18T10:00:00, 200, Session recorded",""
"passed","Tue Mar 25 10:43:14 GMT 2025","Tue Mar 25 10:43:14 GMT 2025","47","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности [1] user123, 200, Total activity: 44760 minutes",""
"passed","Tue Mar 25 10:43:14 GMT 2025","Tue Mar 25 10:43:14 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности [2] user456, 404, No sessions found for user",""
"passed","Tue Mar 25 10:43:15 GMT 2025","Tue Mar 25 10:43:15 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","Тест получения месячной активности [6] user123, aaaa, 400, Invalid data: Text 'aaaa' could not be parsed at index 0",""
"passed","Tue Mar 25 10:43:14 GMT 2025","Tue Mar 25 10:43:14 GMT 2025","32","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя [3] user123, John, 409, User already exists",""
"passed","Tue Mar 25 10:43:17 GMT 2025","Tue Mar 25 10:43:17 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса активности [5] 119, Active",""
"passed","Tue Mar 25 10:43:17 GMT 2025","Tue Mar 25 10:43:17 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetLastDate","Тест получения последней записи [2] [Mock for Session, hashCode: 1221699762, Mock for Session, hashCode: 785596033], Optional[2025-02-18]",""
"passed","Tue Mar 25 10:43:17 GMT 2025","Tue Mar 25 10:43:17 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса активности [4] 90, Active",""
"passed","Tue Mar 25 10:43:15 GMT 2025","Tue Mar 25 10:43:15 GMT 2025","19","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","Тест получения месячной активности [4] user123, 2024-02, 200, {}",""
"passed","Tue Mar 25 10:43:14 GMT 2025","Tue Mar 25 10:43:15 GMT 2025","552","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения неактивных пользователей [2] 100, 200, []",""
